"U.S. AMERICAN 
LIFT-SERVED 
Homestead,U.S. - Virginia,700,,,45,50,Yes,,Omni Hotels,2013,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,
Massanutten,U.S. - Virginia,"1,110",,,70,35,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$531,$510,N/A,5/31,$399,$573,N/A,Yes,
Wintergreen,U.S. - Virginia,"1,003",,,129,40,Yes,,Pacific Group Resorts,2015,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$429,$429,NO,3/24,NO,$429,$529,No,9/2,$399,$699,No,Yes,"Unlimited non-holiday access to Ragged, Wisp, Wintergreen, Powderhorn CO; 5 days access to Mount Washington Alpine BC and Jay Peak"
VA,,,,,294,,,,,,,,,,,,4,0,4,0,4,4,,,,,,,,,,,,,,3,
WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49° North,U.S. - Washington,"1,851",,,"2,325",301,,,CMR Lands,2019,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$489,$549,No,7/15,$489,$859,Yes,Yes,View reciprocal partners here.
Badger Mountain,U.S. - Washington,325,,,10,120,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,
Bluewood,U.S. - Washington,"1,125",,,355,300,No,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$649,$649,$599 (ended),4/15,YES,$499,$549,N/A,6/30,$459,$699,N/A,No,View reciprocal partners here.
Crystal Mountain,U.S. - Washington,"2,612",,,"2,600",466,Yes,,Alterra ,2018,"2,300",,,,Ikon,Ikon U | Base 5B | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,329","$1,329","$1,229",N/A,YES,"$1,249","$1,359","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Summer,Access details here
Echo Valley,U.S. - Washington,900,,,70,100,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$140,$175,N/A,No,Track operations via Facebook page.
Hurricane Ridge,U.S. - Washington,800,,,250,400,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$350,$369,N/A,No,Track operations via Facebook page.
Leavenworth Ski Hill,U.S. - Washington,200,,,17,150,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,$235,$235,N/A,N/A,$220,$325,N/A,No,
Loup Loup,U.S. - Washington,"1,240",,,550,150,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$461,$461,NO,,YES,$410,$544,N/A,10/1,$599,$549,N/A,No,View reciprocal partners here.
Meany Lodge,U.S. - Washington,N/A,,,100,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,
Mission Ridge,U.S. - Washington,"2,250",,,"2,000",200,,,Larry Scrivanich,2003,"2,000",,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$849,$879,$789,OS-3/24,,$819,$879,$769 (ended),SOLD OUT,$779,N/A (Last $899),N/A,No,View reciprocal partners here.
Mt. Baker,U.S. - Washington,"1,500",,,"1,000",701,,,Independent,,"1,000",,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,"$1,011.24",N/A ($1102.40),N/A,No,
Mt. Spokane,U.S. - Washington,"2,000",,,"1,704",300,,,Independent,,,,,https://liftblog.com/mt-spokane-wa/,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,,,,,,$539,$539,$489,5/31,$539,$849,Yes,Yes,
Sahalie Ski Club,U.S. - Washington,N/A,,,80,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski club - can be rented by general public; track operations via Facebook page.
Sitzmark Ski Hill,U.S. - Washington,650,,,80,60,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Not enough snow to operate for 23/24; intended to re-open for 24/25 but will not; Track operations via Facebook page.
Stevens Pass,U.S. - Washington,"1,800",,,"1,125",460,,,Vail Resorts,2018,"1,125",,,,Epic,Epic/Local U | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$670,$670,NO,N/A,NO,$626,$652,No,N/A,$579,$701,No,Summer,
Snoqualmie: Alpental,U.S. - Washington,"2,280",,,875,428,No,,Boyne Resorts,2007,875,,,,"Ikon, New England Pass","Ikon 7S | Base 5SB | Session B, NE Gold 3S",Yes,No,Yes,No,Yes,Yes,,,,,,,$829,$829,N/A,N/A,$699,$819,N/A,Yes,"Unlimited access to Alpental and Summit ski areas; 3 days each at Cypress, Brighton, Big Sky, Boyne Mountain, The Highlands, Sugarloaf, Sunday River, Pleasant Mountain, Loon"
Snoqualmie: Summit,U.S. - Washington,"1,100",,,"1,119",428,No,,Boyne Resorts,2007,"1,119",,,,"Ikon, New England Pass","Ikon 7S | Base 5SB | Session B, NE Gold 3S",Yes,No,Yes,No,Yes,Yes,,,,,,,$609,$609,N/A,N/A,N/A,$709,N/A,Yes,Includes weekday access at Alpental
White Pass,U.S. - Washington,"2,050",,,"1,402",400,,,Independent,,635,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2B, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,,,,,,$769,$769,N/A,N/A,$719,$839,N/A,No,View list of reciprocal partners here.
WA,,,,,"15,662",,,,,,,,,,,,15,2,11,6,17,17,,,,,,,,,,,,,,4,
WEST VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaan Valley,U.S. - West Virginia,850,,,95,160,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$299,$599,N/A,FINAL PRICE,$299,$599,N/A,Yes,*West Virginia resident rate discounted
Oglebay,U.S. - West Virginia,168,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$279,$279,N/A,No,
Silver Creek (Snowshoe),U.S. - West Virginia,703,,,,180,Yes,,Alterra ,2017,,,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$319,$319,NO,3/31,NO,$299,$349,N/A,10/12,$299,$399,N/A,No,"Ikon Base Pass also includes unlimited  access; includes Monday through Thursday, non-holiday access to Snowshoe"
Snowshoe/Western Territory,U.S. - West Virginia,"1,500",,,257,180,Yes,,Alterra ,2017,,,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$489,$489,$439,3/31,YES,$469,$549,$419 (ended),10/12,$469,$649,N/A,No,Snowshoe pass also includes Silver Creek access; Ikon Base Pass also includes unlimited  access
Timberline,U.S. - West Virginia,"1,000",,,100,200,Yes,,Perfect Family,2019,,,,,,,Yes,No,Yes,No,Yes,Yes,,$389,$389,NO,4/1,NO,$419,$454,No,7/1,$419,$699,No,Yes,"Unlimited access: Perfect North and Timberline, West Virginia"
Winterplace,U.S. - West Virginia,603,,,90,100,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$399,$499,No,9/30,$399,$549,Yes,No,
WV,,,,,542,,,,,,,,,,,,6,0,6,0,6,6,,,,,,,,,,,,,,2,
WISCONSIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Valley,U.S. - Wisconsin,388,,,90,80,Yes,,Wisconsin Resorts,N/A,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$617,$617,N/A,9/30,$569,$677,N/A,Yes,Multimountain pass to sister resorts available for upcharge
Ausblick Ski Club,U.S. - Wisconsin,176,,,10,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private club ski hill - membership rates here. Track operations via Facebook page.
Blackhawk,U.S. - Wisconsin,300,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private club ski hill. Track operations via Facebook page.
Bruce Mound,U.S. - Wisconsin,375,,,40,45,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$224,$224,N/A,No,Track operations via Facebook page.
Camp 10,U.S. - Wisconsin,250,,,120,60,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$159,$225,No,N/A,$199,$199,N/A,No,Track operations via Facebook page.
Cascade,U.S. - Wisconsin,450,,,176,80,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$665,$665,NO,3/16,NO,$629,$699,No,10/31,$579,$699,No,No,
Christie Mountain,U.S. - Wisconsin,350,,,45,60,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$285,$385,No,N/A,$285,$385,No,No,
Christmas Mountain Village,U.S. - Wisconsin,250,,,40,40,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$275,$275,N/A,No,
Crystal Ridge,U.S. - Wisconsin,225,,,30,40,Yes,,Schmitz Brothers,2017,,The Rock Snowpark,,,"Indy, Freedom","Indy+ 2, Indy Base 2, Freedom 3",Yes,No,Yes,No,Yes,Yes,,,,,,,$329,$349,No,8/31,$299,$499,N/A,No,"Upgrade to ""Sno Pass"" for reciprocal partners listed here."
Devil’s Head,U.S. - Wisconsin,500,,,300,70,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$449,$499,N/A,No,
Fox Hill ,U.S. - Wisconsin,226,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Pass comes with volunteer requirement. Track operations via Facebook page.
Grand Geneva (Mountain Top),U.S. - Wisconsin,211,,,20,46,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$325,$575,N/A,Yes,
Granite Peak,U.S. - Wisconsin,700,,,155,75,Yes,,Midwest Family Ski Resorts,2000,,Rib Mountain,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$790,$790,NO,5/15,NO,$675,$775,N/A,10/15,$675,N/A (last $750),$99,Yes,"Unlimited access: Granite Peak, Lutsen Mountain, Snowriver   "
Heiliger Huegel Ski Club,U.S. - Wisconsin,200,,,20,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private club ski hill. Track operations via Facebook page.
Kettlebowl,U.S. - Wisconsin,325,,,,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Track operations via Facebook page.
Keyes Peak,U.S. - Wisconsin,230,,,15,60,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$125,$125,N/A,No,Track operations via Facebook page.
Little Switzerland,U.S. - Wisconsin,200,,,50,45,Yes,,Schmitz Brothers,2012,,,,,"Indy, Freedom","Indy+ 2, Indy Base 2, Freedom 3",Yes,No,Yes,No,Yes,Yes,,,,,,,$379,$399,No,8/31,$349,$549,No,Yes,"Upgrade to ""Sno Pass"" for access to reciprocal partners listed here."
Mount Ashwabay,U.S. - Wisconsin,317,,,65,120,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$200,$200,No,7/31,$284,$245*,No,No,View reciprocal partners here.
Mount La Crosse,U.S. - Wisconsin,516,,,100,30,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$445,$545,No,N/A,$425,$625,No,No,
Mont du Lac ,U.S. - Wisconsin,320,,,20,55,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$149.99,$149.99,No,N/A,$99.99,$199.99,N/A,Yes,View reciprocal partners here.
Nordic Mountain,U.S. - Wisconsin,265,,,60,60,Yes,,Schmitz Brothers,2005,,,,,"Indy, Freedom","Indy+ 2, Indy Base 2, Freedom 3",Yes,No,Yes,No,Yes,Yes,,,,,,,$329,$349,No,8/31,$299,$499,No,Yes,"Upgrade to ""Sno Pass"" for reciprocal partners listed here."
Nutt Hill,U.S. - Wisconsin,125,,,7,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,No,No,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Last operated 2012-ish; community effort underway to re-open in 2025
Paul Bunyan,U.S. - Wisconsin,150,,,,65,Yes,,Independent,,,,,,Indy Allied,"""25% weekend/holiday, 50% weekday discount""",Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$275,$275,N/A,No,Track operations via Facebook page.
Pinehurst Park,U.S. - Wisconsin,N/A,,,,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,w/o Lifts,w/o Lifts,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Currently offers hike park; attempting to install ropetow
Powers Bluff,U.S. - Wisconsin,250,,,,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Does not offer season pass. Track operations via Facebook page.
Standing Rocks Park,U.S. - Wisconsin,125,,,30,45,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$90,$90,N/A,N/A,$90,$90,N/A,No,
Sunburst,U.S. - Wisconsin,214,,,40,50,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$249,$249,No,6/21,$249,$399,No,No,
Sunset Hill (Forest Springs),U.S. - Wisconsin,N/A,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Free at all times for everyone
Triangle Sports Area,U.S. - Wisconsin,75,,,,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page.
Trollhaugen,U.S. - Wisconsin,260,,,86,50,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$284.99,$450.00,No,10/8,$284.99,$525.00,No,Yes,
Tyrol Basin,U.S. - Wisconsin,300,,,40,41,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$199.99,$549.99,N/A,No,
Whitecap Mountains,U.S. - Wisconsin,400,,,400,200,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$295,$375,No,7/6,$295,$595,N/A,Yes,View reciprocal partners here.
Whitetail Ridge,U.S. - Wisconsin,185,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$300*,$300*,N/A,No,*Military passes discounted. Track operations via Facebook page.
Wilmot,U.S. - Wisconsin,194,,,120,48,Yes,,Vail Resorts,2016,,,,,Epic,Epic/Local U | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$461,$461,NO,N/A,NO,$430,$449,No,N/A,$398,$433,No,Yes,
Winter Park (Keewaunee ),U.S. - Wisconsin,100,,,5,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$80,$80,N/A,No,Track operations via Facebook page.
WI,,,,,2084,,,,,,,,,,,,29,4,27,6,33,33,,,,,,,,,,,,,,9,
WYOMING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Butte,U.S. - Wyoming,"1,000",,,225,200,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$299,$399,N/A,N/A,$260,$325,N/A,No,
Beartooth Basin,U.S. - Wyoming,"1,000",,,90,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,,,,,,N/A,N/A,N/A,N/A,$395,$395,N/A,No,Not enough snow to operate in 2024; currently for sale; *summer-only ski area - pass access will be for summer 2025.
Meadowlark,U.S. - Wyoming,"1,000",,,300,160,,,Independent,,,"Big Horn, Powder Pass, High Park",,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$485,$485,N/A,No,
Grand Targhee,U.S. - Wyoming,"2,270",,,"2,602",500,,,Independent,,"1,500",,,,Mountain Collective,MC 2,Yes,No,Yes,No,Yes,Yes,,"$1,199","$1,199",NO,4/30,NO,"$1,069","$1,229",N/A,9/30,$969,"$1,519",No,No,Reciprocal pass partners TBD - look for updated list here
Hogadon Basin,U.S. - Wyoming,600,,,60,140,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$425,$525,N/A,No,
Jackson Hole,U.S. - Wyoming,"4,139",,,"2,500",459,Yes,,Independent,,"2,500",,,,"Ikon, Mountain Collective","Ikon 7, MC 2",Yes,No,Yes,No,Yes,Yes,,"$2,159*","$2,159*",NO,5/11,NO,"$1,969*","$2,205",N/A,5/31,"$1,969",(N/A Last $1969),N/A,Yes,*In-person price only; Ikon Base Add-On available
Pine Creek,U.S. - Wyoming,"1,400",,,370,150,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$415,$465,N/A,No,
Sleeping Giant,U.S. - Wyoming,810,,,184,310,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,,,,,,,N/A,N/A,N/A,N/A,$329,$600,N/A,No,Not enough snow to open for 23/24; owner put mountain up for sale and will not open for 24/25
Snow King,U.S. - Wyoming,"1,571",,,500,300,,,Independent,,400,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2B, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,,,,,,$525,$680,No,9/30,$500,$750,Yes,No,View reciprocal partners here.
Snowy Range,U.S. - Wyoming,865,,,250,245,,,Independent,,,Medicine Bow,https://skimap.org/skiareas/view/155,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$329,$529,N/A,No,5-Day Steamboat add-on expected again for 2024-25.
White Pine,U.S. - Wyoming,"1,100",,,370,150,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$425,$425,NO,3/22,YES,N/A,N/A,N/A,N/A,$440,$540,N/A,No,View reciprocal partners here.
WY,,,,,7451,,,,,,,,,,,,10,0,9,1,9,10,,,,,,,,,,,,,,1,
CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banff Sunshine,Canada - Alberta,"3,514",,,"3,358",360,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7S | Base 5SB | Session B, MC 2",Yes,No,,No,Yes,,,,,,,,,,,,,,,,
Castle Mountain,Canada - Alberta,"2,833",,,"3,592",354,,,Independent,,,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,,No,Yes,,,,,,,,,,,,,,,,
Lake Louise,Canada - Alberta,"3,250",,,"4,200",179,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7S | Base 5SB | Session B, MC 2",Yes,No,,No,Yes,,,,,,,,,,,,,,,,
Marmot Basin,Canada - Alberta,"3,000",,,"1,720",173,,,Independent,,,,,,Mountain Collective,MC 2,Yes,No,,No,Yes,,,,,,,,,,,,,,,,
Mt. Norquay,Canada - Alberta,"1,650",,,190,120,,,Independent,,,,,,Ikon,"Ikon 7S | Base 5SB | Session B, MC 2",Yes,No,,No,Yes,,,,,,,,,,,,,,,,
Nakiska,Canada - Alberta,"2,412",,,"1,021",100,,,Resorts of the Canadian Rockies,N/A,,,,,Epic,Epic 7 | Day All 4+,Yes,No,,No,Yes,,,,,,,,,,,,,,,,
Pass Powderkeg,Canada - Alberta,"1,200",,,150,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,,No,Yes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITISH COLUMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex Mountain,Canada - British Columbia,"2,001",,,"1,112",236,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Baldy Mountain Resort,Canada - British Columbia,"1,293",,,500,256,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Big White,Canada - British Columbia,"2,550",,,"2,765",295,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Cypress,Canada - British Columbia,"2,010",,,600,425,,,Boyne Resorts,2001,,,,,"Ikon, New England Pass","Ikon 7 | Base 5B | Session B, NE Gold 3",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Fairmont Hot Springs,Canada - British Columbia,"1,000",,,88,100,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Fernie,Canada - British Columbia,"3,550",,,"2,500",360,,,Resorts of the Canadian Rockies,1997,,,,,Epic,Epic 7 | Day All 4+,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Hudson Bay Mountain,Canada - British Columbia,"1,676",,,700,157,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Kicking Horse,Canada - British Columbia,"4,314",,,"3,400",288,,,Resorts of the Canadian Rockies,2011,,,,,Epic,Epic 7 | Day All 4+,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Kimberley,Canada - British Columbia,"2,465",,,"1,800",156,,,Resorts of the Canadian Rockies,2003,,,,,Epic,Epic 7 | Day All 4+,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Manning Park,Canada - British Columbia,"1,417",,,140,296,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mount Washington Alpine,Canada - British Columbia,"1,657",,,"1,700",453,,,Pacific Group Resorts,2015,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Panorama,Canada - British Columbia,"4,265",,,"2,975",204,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7 | Base 5B | Session B, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Phoenix Mountain,Canada - British Columbia,722,,,91,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Red Mountain,Canada - British Columbia,"2,919",,,"3,850",300,,,Independent,,,,,,Ikon,Ikon 7 | Base 5B | Session B,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Revelstoke,Canada - British Columbia,"5,620",,,"3,121",540,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7 | Base 5B | Session B, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Sasquatch,Canada - British Columbia,"1,200",,,300,415,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Shames Mountain,Canada - British Columbia,"1,600",,,252,480,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Silver Star,Canada - British Columbia,"2,500",,,3065,276,,,Powdr,2019,,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Sun Peaks,Canada - British Columbia,"2,894",,,"4,270",237,,,Independent,,,,,,"Ikon, Mountain Collective","Ikon 7 | Base 5B | Session B, MC 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Whistler,Canada - British Columbia,"5,280",,,"8,171",404,,,Vail Resorts,2016,,,,,Epic,Epic U | Local 10SB | Day All,Yes,,,No,Yes,,,,,,,,,,,,,,,,
NOVA SCOTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Smokey,Canada - Nova Scotia,"1,000",,,85,120,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain,Canada - Ontario,720,,,365,110,,,Alterra ,2017,,,,,Ikon,Ikon/Base U | Session B,Yes,,,No,Yes,,,,,,,,,,,,,,,,
Calabogie Peaks,Canada - Ontario,780,,,80,80,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Loch Lomond,Canada - Ontario,751,,,60,80,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Mt. Baldy ON,Canada - Ontario,475,,,N/A,N/A,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,,,No,Yes,,,,,,,,,,,,,,,,
Searchmont,Canada - Ontario,750,,,100,132,,,Wisconsin Resorts,2018,,,,,,,Yes,,,No,Yes,,,,,,,,,,,,,,,,
QUEBEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
